iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
56,57344,-23.71065,175.6,0.0,0.0,1.383675,0.081989,3.941639,0.009821,2352,-0.01,-0.03139,-0.0011,-0.00177,-0.08032,-0.00196
57,58368,-19.24804,117.41667,0.0,0.0,1.396426,0.000462,6.3841,0.003736,2099,-0.01,-0.02403,0.00092,-0.00193,-0.16238,-0.00521
58,59392,-29.40708,232.5,0.0,0.0,1.323733,-0.003458,3.36014,0.004899,2208,-0.01,-0.031,-0.00119,-0.00197,-0.11485,-0.00109
59,60416,-21.62595,158.33333,0.0,0.0,1.332302,-0.001975,2.94305,0.005137,2389,-0.01,-0.03014,-0.00069,-0.00182,-0.0807,-0.0012
60,61440,-16.56057,160.5,0.0,0.0,1.348286,0.003384,3.494851,0.007109,2507,-0.01,-0.02749,0.00025,-0.00095,-0.07669,-0.00331
61,62464,-23.97226,151.22222,0.0,0.0,1.320586,-0.000673,6.568163,0.005257,2476,-0.01,-0.02753,0.00221,-0.00098,-0.2398,-0.00476
62,63488,-16.99511,149.83333,0.0,0.0,1.39666,0.066365,4.356293,0.007877,2432,-0.01,-0.03189,0.00045,-0.00091,-0.13693,-0.00335
63,64512,-16.16945,81.42857,0.0,0.0,1.372269,-0.000101,3.694158,0.005904,2540,-0.01,-0.03344,0.00056,-0.00116,-0.09303,-0.00391
64,65536,-17.54652,145.83333,0.0,0.0,1.359163,-0.000602,6.967448,0.002569,2215,-0.01,-0.02483,0.0017,-0.00047,-0.1641,-0.00529
65,66560,-15.57122,135.57143,0.0,0.0,1.409844,-0.187954,3.879789,0.005493,2415,-0.01,-0.03498,0.00021,-0.00067,-0.05885,-0.00328
66,67584,nan,nan,0.0,0.0,1.394128,0.000323,0.056418,0.006235,2800,-0.01,-0.0407,-0.00156,-0.00049,0.0,0.0
67,68608,-14.47666,187.11111,0.0,0.0,1.313193,-0.017931,2.262734,0.009327,2079,-0.01,-0.03112,-1e-05,-0.0009,-0.06124,-0.00287
68,69632,-14.15705,112.72222,0.0,0.0,1.336447,-0.008589,9.375977,0.008311,2126,-0.01,-0.02181,0.00273,-0.00044,-0.2525,-0.00858
69,70656,-15.20302,37.53846,0.0,0.0,1.368768,0.002514,8.444166,0.004302,2184,-0.01,-0.02514,0.00072,-4e-05,-0.28388,-0.00931
70,71680,-10.7491,154.0,0.0,0.0,1.491807,-0.024195,1.378512,0.004522,2587,-0.01,-0.03604,-0.00233,-0.00031,-0.02107,-0.00134
71,72704,-21.53478,289.25,0.0,0.0,1.488783,-0.00261,2.325692,0.007098,2311,-0.01,-0.03694,-0.00233,-0.00041,-0.04205,-0.00062
72,73728,-18.78967,158.0,0.0,0.0,1.440483,0.023609,5.309869,0.006348,2206,-0.01,-0.03312,-0.0019,0.00018,-0.08692,-0.00225
73,74752,-13.76333,164.375,0.0,0.0,1.408465,-0.000608,4.148842,0.002554,2128,-0.01,-0.0254,-0.00044,-0.00051,-0.09196,-0.00296
74,75776,-13.66326,261.66667,0.0,0.0,1.393218,-0.001312,1.566086,0.006466,2255,-0.01,-0.02769,-0.0024,7e-05,-0.04519,-0.00066
