iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
75,76800,nan,nan,0.0,0.01,2.163249,-0.042172,0.376323,0.001532,640,0.09891,0.0,0.0,,,-0.01,0.00691,9e-05,-0.02014,-0.0001,0.0
76,77824,-8.5099,600.0,0.0,0.01,2.087706,-0.002602,0.34758,0.00074,674,0.10104,1.0,0.0,,,-0.01,0.00677,1e-05,-0.02285,-0.00152,0.0
77,78848,-10.03253,600.0,0.0,0.01,2.086684,0.02048,0.562024,0.001034,521,0.08403,1.0,0.0,,,-0.01,0.00693,8e-05,-0.02448,-0.00335,0.0
78,79872,-9.90889,600.0,0.0,0.01,2.025696,-0.000983,0.472299,0.000605,508,0.08154,1.0,0.0,,,-0.01,0.00589,-0.00016,-0.01632,-0.0063,0.0
79,80896,-9.49975,600.0,0.0,0.01,1.968836,0.043299,0.376497,0.001605,660,0.1046,1.0,1.0,,,-0.01,0.0068,-0.00047,-0.02062,-0.0041,0.0
80,81920,nan,nan,0.0,0.01,1.968806,-0.002444,0.403387,0.001197,803,0.11899,0.0,0.0,,,-0.01,0.00622,-0.00076,-0.02576,-0.0019,0.0
81,82944,-10.56147,476.66667,0.0,0.01,1.905714,-0.121723,0.771242,0.002432,722,0.09917,1.0,0.0,,,-0.01,0.00611,-0.00012,-0.02567,-0.00768,-0.00024
82,83968,-9.62151,600.0,0.0,0.01,1.942963,-0.001845,0.401019,0.001269,483,0.07584,0.8,1.0,,,-0.01,0.00636,0.00011,-0.02243,-0.00178,0.0
83,84992,nan,nan,0.0,0.01,2.124654,-0.0016,0.259781,0.00047,430,0.07131,0.0,0.0,,,-0.01,0.00641,0.00024,-0.01698,-0.00256,0.0
84,86016,nan,nan,0.0,0.01,2.192149,-0.001335,0.540655,0.000851,529,0.08583,0.0,0.0,,,-0.01,0.00787,5e-05,-0.01444,-0.00409,0.0
85,87040,nan,nan,0.0,0.01,2.068039,-0.079429,0.930473,0.00254,663,0.10194,0.0,0.0,,,-0.01,0.00836,-5e-05,-0.02072,-0.00671,0.0
86,88064,-10.97567,600.0,0.0,0.01,1.967759,-0.001518,0.604716,0.001412,585,0.0839,1.0,1.0,,,-0.01,0.00671,-4e-05,-0.01841,-0.00318,0.0
87,89088,-9.68528,600.0,0.0,0.01,2.033087,-0.001326,0.548892,0.000828,440,0.07205,0.66667,0.0,,,-0.01,0.00681,8e-05,-0.01678,-0.00494,0.0
88,90112,nan,nan,0.0,0.01,2.091563,-0.001286,0.34867,0.000515,480,0.07922,0.0,0.0,,,-0.01,0.00661,-0.00025,-0.01303,-1e-05,0.0
89,91136,nan,nan,0.0,0.01,2.109992,-0.00271,0.520212,0.002059,582,0.09157,0.0,0.0,,,-0.01,0.00675,4e-05,-0.01545,-0.00306,0.0
90,92160,-10.60063,600.0,0.0,0.01,2.048618,-0.012895,0.177494,0.002392,695,0.10049,0.66667,1.0,,,-0.01,0.00656,-0.0001,-0.02027,-0.00017,0.0
91,93184,-8.42882,600.0,0.0,0.01,1.974753,-0.00157,0.392826,0.000672,514,0.07962,0.66667,0.0,,,-0.01,0.00659,0.00028,-0.01982,-0.00359,0.0
92,94208,-7.87051,600.0,0.0,0.01,2.096399,-0.015645,0.326738,0.002281,433,0.07244,1.0,0.0,,,-0.01,0.00778,0.00021,-0.01496,-0.00204,0.0
93,95232,nan,nan,0.0,0.01,2.005638,-0.002801,0.21311,0.002005,544,0.08611,0.0,0.0,,,-0.01,0.00519,0.00023,-0.01235,-0.00204,0.0
94,96256,29.81787,391.0,1.0,0.02,1.936634,0.038506,15.931752,0.003615,694,0.09803,1.0,0.0,,,-0.01,0.00494,-0.00015,-0.01426,-0.00211,0.06562
95,97280,-9.64124,600.0,0.0,0.02,1.959175,-0.002609,0.272604,0.000811,609,0.08541,0.66667,1.0,,,-0.01,0.00754,-3e-05,-0.02049,-0.00124,0.0
96,98304,-8.06845,600.0,0.0,0.02,1.958026,-0.000562,0.335344,0.00153,533,0.08145,1.0,1.0,,,-0.01,0.00688,6e-05,-0.01212,-0.00933,0.0
97,99328,-8.76226,600.0,0.0,0.02,1.934807,0.126138,0.276783,0.002609,550,0.0801,1.0,0.0,,,-0.01,0.00693,0.00037,-0.01165,-0.00305,0.0
98,100352,10.92275,382.0,0.5,0.03,1.942437,0.000152,17.637103,0.005345,657,0.08561,0.5,0.0,,,-0.01,0.00469,0.00021,-0.0141,-0.00872,0.05946
99,101376,-7.01075,536.5,0.0,0.03,1.940133,-0.055662,0.280404,0.002022,594,0.08564,1.0,1.0,,,-0.01,0.00696,-0.00034,-0.0206,-0.00162,-0.0002
100,102400,-7.82527,600.0,0.0,0.03,2.035004,-0.002257,0.274285,0.000991,626,0.08986,1.0,0.0,,,-0.01,0.00669,-9e-05,-0.01308,-0.00329,0.0
101,103424,-9.48212,600.0,0.0,0.03,2.015821,-0.196408,0.677411,0.002127,529,0.08212,1.0,0.0,,,-0.01,0.00679,0.0002,-0.01623,-0.00343,0.0
102,104448,-6.54021,476.0,0.0,0.03,2.058832,-0.000489,0.239725,0.000963,552,0.08555,1.0,0.0,,,-0.01,0.00682,0.00025,-0.01033,-0.00503,-0.00018
103,105472,7.27081,495.0,0.33333,0.04,2.082099,0.017684,11.445296,0.003342,507,0.07528,0.66667,1.0,,,-0.01,0.00935,-3e-05,-0.01418,-0.00576,0.05892
104,106496,13.59299,423.0,0.66667,0.06,2.102467,-0.305447,79.081027,0.003723,481,0.07387,0.66667,0.0,,,-0.01,0.00683,0.00048,-0.01233,-0.0038,0.07547
105,107520,20.90043,430.0,0.66667,0.08,2.123366,0.038858,26.152486,0.00687,540,0.08652,1.0,0.0,,,-0.01,0.00831,-0.00017,-0.01547,-0.00116,0.11522
