iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
54,55296,33.20289,132.33333,0.88889,0.89,1.260309,0.025754,18.564408,0.000729,2931,0.14475,-0.01,0.00846,-0.00185,-0.00212,-0.00517,0.33542
55,56320,45.80044,112.83333,1.0,0.9,1.262241,0.008544,17.822385,0.000355,3059,0.13878,-0.01,0.00932,-0.00766,-0.00166,0.00565,0.299
56,57344,40.04367,124.66667,1.0,0.91,1.271436,0.096791,17.696936,0.000698,2884,0.14699,-0.01,0.00908,-0.00498,-0.00149,0.00245,0.53998
57,58368,37.18703,114.57143,1.0,0.92,1.147384,-0.049963,26.154366,0.000636,3141,0.14401,-0.01,0.00792,-0.00425,-0.00185,-0.02994,0.31358
58,59392,21.7063,141.375,0.875,0.91,1.117177,-0.011758,27.47542,0.000646,3448,0.14894,-0.01,0.00988,-0.00293,-0.00183,0.00123,0.26881
59,60416,17.46188,106.28571,0.71429,0.89,1.195397,-0.058981,25.416813,0.001925,3087,0.13969,-0.01,0.00846,-0.00168,-0.00219,-0.01704,0.1645
60,61440,36.80016,118.22222,0.88889,0.9,1.146631,0.05177,16.198118,9.3e-05,3029,0.14741,-0.01,0.00931,-0.00417,-0.00209,-0.00387,0.38206
61,62464,36.27354,112.85714,0.85714,0.89,1.143712,0.042743,17.444772,0.000298,3048,0.15282,-0.01,0.00873,-0.00395,-0.00126,-0.00571,0.2962
62,63488,23.41204,176.25,0.875,0.89,1.208763,-0.000208,16.829608,0.000158,3450,0.14425,-0.01,0.00775,-0.0055,-0.00061,-0.00068,0.25861
63,64512,18.80062,117.375,0.75,0.89,1.138866,-0.001044,24.290895,0.000283,3204,0.14022,-0.01,0.00963,-7e-05,-0.00142,-0.03426,0.2184
64,65536,32.80051,145.5,1.0,0.9,1.216929,-0.000226,16.081519,0.00019,3240,0.14982,-0.01,0.00839,-0.00535,-0.00107,0.00213,0.3273
65,66560,37.98901,99.33333,0.88889,0.9,1.155885,0.118825,38.369427,0.001277,3048,0.13842,-0.01,0.01023,-0.00112,-0.0016,-0.00377,0.39714
66,67584,40.47402,109.6,1.0,0.91,1.186365,-0.023922,14.462611,0.001022,2866,0.1333,-0.01,0.01038,-0.00175,-0.00139,0.00526,0.43505
67,68608,16.41174,106.14286,0.57143,0.88,1.179555,-0.00068,29.591891,0.000268,3314,0.15801,-0.01,0.01001,-0.00273,-0.00104,-0.02813,0.16812
68,69632,30.07818,136.66667,0.88889,0.87,1.121319,0.198449,47.414028,0.000227,3060,0.14265,-0.01,0.01051,-0.0026,-0.00179,-0.03235,0.34149
69,70656,43.8842,100.8,1.0,0.87,1.14253,0.000274,22.907805,0.000366,3089,0.13603,-0.01,0.01106,-0.00115,-0.00127,-0.00838,0.50025
70,71680,30.10506,109.7,0.9,0.88,1.117769,-0.000582,25.5934,0.000214,3044,0.14767,-0.01,0.00989,-0.00275,-0.00129,-0.02067,0.38061
71,72704,40.26448,104.375,1.0,0.89,1.144864,-0.000938,19.769856,0.000127,3002,0.14752,-0.01,0.00974,-0.00149,-0.0011,-0.013,0.38758
72,73728,27.13434,137.71429,0.85714,0.9,1.162113,-0.00078,21.943465,0.000243,3158,0.14695,-0.01,0.00817,-0.00192,-0.00071,0.00058,0.2446
73,74752,29.46232,125.63636,0.81818,0.88,1.111402,-0.001557,26.026223,0.000553,3078,0.14806,-0.01,0.01041,-0.0016,-0.00047,-0.00771,0.39692
74,75776,26.93709,113.0,0.875,0.89,1.112303,-0.075626,24.806669,0.000838,3024,0.13887,-0.01,0.01019,-0.0012,-0.0012,-0.00708,0.26325
75,76800,24.9253,136.875,1.0,0.9,1.190557,-0.00063,18.675674,0.000113,3156,0.15368,-0.01,0.00967,-0.0063,-0.00128,-0.00079,0.25944
76,77824,39.58267,118.71429,0.85714,0.89,1.232123,-0.060924,15.333644,0.000588,2921,0.15391,-0.01,0.00857,-0.00377,-0.00227,-0.00315,0.30516
77,78848,35.98857,120.5,1.0,0.9,1.140422,0.000436,17.386503,0.000584,3012,0.1505,-0.01,0.00862,-0.00314,-0.00172,0.00269,0.32087
78,79872,27.15893,128.125,0.75,0.88,1.120494,-0.000813,20.729669,0.000182,3020,0.14932,-0.01,0.00843,-0.00035,-0.0019,-0.01486,0.26671
