iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
63,64512,32.71961,111.0,0.7,0.45,2.105442,-0.000417,102.069608,0.000179,1686,0.18322,0.6,0.93103,0.35035,3.43593,-0.01,0.02333,-0.00366,-0.01659,0.01373,0.42992
64,65536,34.70748,166.0,0.66667,0.47,2.109242,-0.000802,59.265953,0.000233,1721,0.18968,0.5,1.0,0.3437,3.61303,-0.01,0.01952,-0.01036,-0.02243,0.007,0.27123
65,66560,21.09449,110.25,0.5,0.47,2.05318,0.078441,25.387705,0.000293,1878,0.19375,0.75,1.0,0.31679,4.09588,-0.01,0.01183,-0.0091,-0.02984,0.00034,0.12393
66,67584,25.25905,193.44444,0.55556,0.48,2.066893,5.6e-05,85.391444,0.00014,1916,0.20015,0.66667,0.96939,0.27953,4.36312,-0.01,0.01883,-0.00955,-0.01733,0.00653,0.39434
67,68608,26.59367,156.0,0.83333,0.5,2.056191,0.058882,42.746349,0.000139,1798,0.19657,0.66667,0.89831,0.32857,3.89428,-0.01,0.0217,-0.00762,-0.01365,0.00701,0.23261
68,69632,36.31991,99.0,0.66667,0.52,2.048142,-0.195629,92.859185,0.000244,2294,0.19488,0.66667,0.94118,0.26714,5.16019,-0.01,0.00256,-0.00952,-0.01678,0.00555,0.19454
69,70656,10.92725,265.6,0.4,0.51,1.96659,0.035783,36.818608,0.000662,3006,0.18778,0.8,0.98529,0.3121,4.28051,-0.01,0.00357,-0.01725,-0.01172,0.00284,0.18165
70,71680,-4.78906,274.33333,0.0,0.5,2.074004,0.075704,3.740794,0.000561,2623,0.19558,1.0,1.0,0.1147,3.99633,-0.01,0.00257,-0.01624,-0.01323,0.00189,-0.00105
71,72704,18.60508,181.875,0.5,0.51,2.089418,-0.001639,59.621274,0.000634,1912,0.18506,0.75,0.97403,0.35552,3.12862,-0.01,0.0246,-0.00833,-0.01556,0.00728,0.2403
72,73728,9.81066,214.4,0.4,0.5,2.091176,0.044218,22.510336,0.000159,2309,0.1971,0.8,0.95455,0.26032,4.4549,-0.01,0.01425,-0.01043,-0.0187,0.00066,0.12076
73,74752,35.76766,148.66667,1.0,0.51,2.032966,-0.020632,69.066674,0.000244,2406,0.17251,0.66667,0.86667,0.38767,3.72629,-0.01,0.01061,-0.01206,-0.01547,0.00949,0.19763
74,75776,5.61245,243.66667,0.16667,0.48,1.994214,0.003452,22.604019,0.000279,2101,0.18259,0.83333,0.96296,0.33333,3.94984,-0.01,0.01718,-0.01233,-0.02099,-0.00319,0.08521
75,76800,1.88254,210.16667,0.16667,0.46,2.04813,-0.000103,16.89224,9.9e-05,1995,0.1729,0.83333,0.98667,0.28702,4.1113,-0.01,0.01699,-0.00957,-0.02404,0.00802,0.05265
76,77824,40.23222,144.0,0.71429,0.48,2.100059,-0.0002,80.354923,0.000615,1582,0.17135,0.42857,0.96154,0.35686,3.37967,-0.01,0.02711,-0.0067,-0.02409,0.009,0.34059
77,78848,40.16042,96.875,0.75,0.51,2.058513,0.000133,82.8527,0.000558,1607,0.17296,0.625,0.98182,0.38409,3.94422,-0.01,0.01969,-0.00868,-0.02627,0.01108,0.39091
78,79872,39.46388,160.5,0.75,0.56,2.069206,0.061043,62.55275,0.000217,1692,0.18001,0.375,0.93421,0.32962,3.4715,-0.01,0.02131,-0.0084,-0.01917,0.01105,0.41798
79,80896,27.2652,123.42857,0.57143,0.55,2.022605,0.049789,45.81893,0.000325,2041,0.18869,0.85714,0.94203,0.29586,3.61948,-0.01,0.01975,-0.00962,-0.01517,0.00749,0.32851
80,81920,12.17587,111.25,0.25,0.54,2.062743,-0.065015,32.271524,0.000481,2411,0.1823,0.75,0.96429,0.42992,2.87664,-0.01,0.00877,-0.01588,-0.01426,0.00268,0.09939
81,82944,8.2388,275.33333,0.16667,0.51,2.060468,-0.000775,32.195642,0.000197,2147,0.18043,0.66667,0.9633,0.30075,3.72857,-0.01,0.01224,-0.01227,-0.01706,0.00544,0.12274
82,83968,22.31979,148.5,0.5,0.51,2.062128,-0.000465,62.413181,0.000379,1881,0.18006,0.75,0.97436,0.23874,3.48773,-0.01,0.01975,-0.01258,-0.02364,0.00122,0.27719
83,84992,32.71037,121.5,0.625,0.51,2.059252,0.000244,71.929949,0.00015,1712,0.17517,0.5,0.98333,0.33068,3.9361,-0.01,0.02114,-0.01082,-0.02121,0.00949,0.35397
84,86016,34.2379,131.83333,0.5,0.5,2.05162,-0.000833,57.692397,0.000328,1668,0.17994,0.33333,0.96078,0.29352,3.94292,-0.01,0.02262,-0.01119,-0.02533,0.01043,0.26793
85,87040,15.70504,175.5,0.33333,0.49,2.032632,0.019017,35.741101,0.000642,1804,0.17645,0.83333,0.97531,0.20328,6.50156,-0.01,0.01706,-0.00749,-0.02622,0.00541,0.148
86,88064,36.75338,154.9,0.8,0.53,2.063232,-0.063877,103.659108,0.000477,1570,0.16884,0.6,0.872,0.31556,3.31943,-0.01,0.02197,-0.00609,-0.02266,0.01158,0.45931
87,89088,38.84919,97.57143,0.85714,0.56,2.078575,-0.000383,61.201362,0.000129,1533,0.16596,0.57143,0.97619,0.38966,3.47889,-0.01,0.02663,-0.01037,-0.02459,0.01208,0.3047
88,90112,44.75483,102.5,1.0,0.57,2.046802,-0.092868,54.495006,0.000605,1600,0.17304,0.75,0.96774,0.31562,5.3288,-0.01,0.01802,-0.00992,-0.03651,0.00606,0.20786
89,91136,20.97187,194.75,0.75,0.59,2.003345,-0.000598,25.948855,0.00027,1740,0.17785,0.5,0.93333,0.34324,5.03254,-0.01,0.01326,-0.01146,-0.03638,0.00099,0.12898
90,92160,30.36166,196.7,0.6,0.62,2.073374,-0.000543,87.321037,0.000145,1578,0.17551,0.2,0.90503,0.4028,3.09865,-0.01,0.02357,-0.00733,-0.02312,0.01904,0.41236
91,93184,43.44852,112.90909,0.72727,0.62,2.103934,0.060805,68.925495,0.000391,1457,0.18207,0.45455,0.94393,0.23014,4.01789,-0.01,0.02686,-0.00852,-0.01882,0.00853,0.54369
92,94208,52.4191,106.1,0.9,0.63,2.070364,0.085891,91.780207,0.000134,1620,0.17647,0.5,0.90909,0.43235,3.67531,-0.01,0.0252,-0.00905,-0.02,0.02159,0.64122
93,95232,42.3473,76.0,0.8,0.67,2.05455,-0.000517,97.211212,0.000222,1642,0.17386,0.4,0.92,0.35191,3.39517,-0.01,0.0246,-0.00809,-0.02083,0.00781,0.53393
94,96256,33.02568,116.375,0.75,0.71,2.057535,0.104468,68.06227,0.000146,1995,0.18355,0.625,0.9359,0.30175,5.01243,-0.01,0.01945,-0.00961,-0.01831,0.0082,0.42394
95,97280,28.65513,140.4,0.6,0.71,2.062073,0.046538,43.876524,0.000317,2327,0.17987,0.8,0.9697,0.36842,3.6265,-0.01,0.01654,-0.01261,-0.01312,0.01372,0.26878
96,98304,27.84964,223.5,0.66667,0.72,2.005601,0.009745,48.65084,0.000149,2113,0.17604,0.5,0.95876,0.24059,3.36108,-0.01,0.01897,-0.00983,-0.01957,0.00733,0.29076
97,99328,16.35391,156.0,0.57143,0.72,2.053317,0.047225,37.402611,0.00023,1965,0.17815,0.71429,0.94667,0.30977,3.60962,-0.01,0.0204,-0.01091,-0.01981,0.00697,0.19255
98,100352,19.47037,122.28571,0.42857,0.72,2.064603,0.089556,34.212038,8.6e-05,1863,0.17779,0.71429,0.96296,0.27273,4.27775,-0.01,0.01337,-0.01077,-0.01915,0.00234,0.20373
99,101376,35.13127,131.5,1.0,0.73,2.043129,-5.2e-05,24.881538,0.00031,2065,0.1839,1.0,0.90909,0.25613,4.80901,-0.01,0.00455,-0.01264,-0.02757,0.00444,0.10909
100,102400,20.01943,273.2,0.6,0.73,1.998787,0.051083,23.894472,0.000344,2066,0.18118,0.2,0.95146,0.29306,5.23204,-0.01,0.01169,-0.01246,-0.02253,0.006,0.21341
101,103424,23.46579,182.5,0.5,0.71,2.143981,0.074818,48.033651,0.000199,2113,0.18152,0.66667,0.92424,0.35616,4.25759,-0.01,0.01518,-0.01033,-0.02238,0.00472,0.26724
102,104448,26.36326,190.88889,0.66667,0.68,2.084543,-0.000687,77.730325,0.000315,1925,0.18088,0.66667,0.96581,0.34955,2.92025,-0.01,0.0212,-0.00792,-0.0167,0.01526,0.37503
103,105472,48.50764,82.125,0.875,0.7,2.074775,-0.000122,95.73404,0.000783,1657,0.17453,0.375,0.85,0.23521,3.59409,-0.01,0.02103,-0.00762,-0.02263,0.01324,0.48155
