iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
29,29696,8.34241,343.0,0.25,0.64,1.412455,-0.006968,0.027101,0.00482,0.54921,0.069519,0.891192,34.733658,13.887375,34.076195,13.933376,4.0,0.00029713,4,840,0.30694,0.34044,0.25,1.0,0.96774,0.46818,7.39345,-0.01,0.01122,-0.00393,-0.02837,0.00354,0.07877
30,30720,35.82975,236.33333,0.66667,0.68,1.541532,-0.007101,0.040598,0.006218,0.372783,0.104126,0.77909,39.12043,11.115711,40.539803,12.40684,4.0,0.00029703,9,701,0.35232,0.40473,0.26,0.55556,1.0,0.34627,4.60708,-0.01,0.0175,-0.00283,-0.02832,0.01404,0.44758
31,31744,68.94171,91.5,1.0,0.75,1.942089,-0.006951,0.035183,0.007001,0.395934,0.087463,0.608128,45.128532,7.004636,48.041821,9.125776,4.0,0.00029693,8,735,0.39749,0.44442,0.21,0.25,1.0,0.42157,3.26235,-0.01,0.02635,-0.00181,-0.03504,0.01585,0.54668
32,32768,67.69303,114.90909,1.0,0.81,1.712149,-0.0073,0.02846,0.006829,0.368679,0.093262,0.557885,51.093437,7.076853,54.076694,7.976425,4.0,0.00029683,11,785,0.37182,0.41969,0.15,0.36364,1.0,0.50342,2.64233,-0.01,0.02737,-0.00059,-0.02423,0.02666,0.7973
33,33792,63.3567,114.125,1.0,0.84,1.775908,-0.00721,0.013811,0.006728,0.377721,0.100525,0.668741,54.515892,7.140097,56.534576,6.693295,4.0,0.00029672,8,705,0.39065,0.44486,0.13,0.5,1.0,0.39238,3.37803,-0.01,0.02512,-0.00381,-0.02893,0.01699,0.53849
34,34816,69.74181,109.25,1.0,0.86,1.717938,-0.004704,0.015308,0.003314,0.421708,0.026611,0.74032,57.692364,7.430912,58.06308,7.876064,4.0,0.00029662,8,667,0.38415,0.4279,0.13,0.25,1.0,0.33557,4.44093,-0.01,0.01655,-0.00195,-0.02618,0.01511,0.61361
35,35840,71.51545,95.2,1.0,0.87,1.631282,-0.007381,0.01984,0.004686,0.49502,0.067566,0.819213,52.547501,9.903039,52.108406,11.256466,4.0,0.00029652,5,821,0.36936,0.42091,0.12,0.2,1.0,0.3,4.57541,-0.01,0.01107,-0.00677,-0.03039,0.01342,0.41328
36,36864,52.32014,181.25,0.75,0.87,1.579081,-0.007809,0.012684,0.005928,0.499486,0.095215,0.916127,48.685287,12.237832,48.241692,13.405889,4.0,0.00029642,4,818,0.3588,0.40894,0.12,0.25,0.84615,0.20807,4.95274,-0.01,0.01083,-0.00533,-0.02891,0.01028,0.26021
37,37888,44.52109,190.9,0.7,0.85,1.624993,-0.004705,0.010865,0.00545,0.387634,0.080383,0.937022,51.673759,13.586652,52.675362,15.342612,4.0,0.00029631,10,742,0.39196,0.43928,0.14,0.4,1.0,0.30372,3.15183,-0.01,0.02426,-0.00497,-0.02538,0.0177,0.55196
38,38912,63.77623,128.55556,0.88889,0.86,1.837216,-0.004004,0.009272,0.003266,0.310685,0.02771,0.853532,58.871151,8.527033,60.02103,9.028125,4.0,0.00029621,9,714,0.4341,0.47508,0.13,0.11111,0.89474,0.51364,3.17282,-0.01,0.02539,-0.00193,-0.0268,0.02084,0.57688
39,39936,71.07004,89.0,1.0,0.88,1.851772,-0.005837,0.009655,0.00418,0.303563,0.0354,0.770976,60.404442,6.670964,62.018547,7.437221,4.0,0.00029611,10,749,0.38574,0.42165,0.11,0.2,1.0,0.54146,2.77753,-0.01,0.02688,-0.00183,-0.0254,0.02462,0.69893
40,40960,66.48821,115.75,0.91667,0.88,1.905986,-0.00565,0.007634,0.00541,0.357247,0.074219,0.860426,60.657291,7.929645,61.952049,8.869584,4.0,0.00029601,12,726,0.36388,0.39872,0.12,0.0,0.875,0.37037,2.4497,-0.01,0.02757,-0.00049,-0.02604,0.0207,0.7804
