iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
54,55296,6.84468,288.5,0.5,0.21,1.933129,0.013792,19.786402,0.003704,1779,0.18732,0.25,1.0,,,-0.01,0.00979,-0.01349,-0.01824,-0.00413,0.10318
55,56320,-6.87941,378.0,0.0,0.21,1.942685,-0.000575,0.868486,0.002062,1394,0.16955,0.6,0.87302,,,-0.01,0.0103,-0.00869,-0.02125,-0.00609,-0.0005
56,57344,14.40835,191.16667,0.5,0.24,1.997996,-0.017559,48.057373,0.005628,1202,0.15462,0.83333,0.6,,,-0.01,0.01211,-0.00397,-0.01585,0.00039,0.16325
57,58368,20.20129,212.5,0.5,0.26,2.041492,-0.246489,67.619884,0.000659,1404,0.17815,0.25,0.73333,,,-0.01,0.0111,-0.0055,-0.02328,-0.00296,0.15763
58,59392,24.49172,237.0,0.75,0.29,2.046387,-0.015145,39.494782,0.005747,1515,0.17985,0.25,0.58621,,,-0.01,0.01014,-0.01059,-0.01927,-0.00466,0.21447
59,60416,17.87061,322.5,1.0,0.31,2.023666,-0.001004,19.412235,0.000334,1691,0.20199,0.0,0.75758,,,-0.01,0.01007,-0.0151,-0.02001,-0.00374,0.0987
60,61440,-0.54738,300.2,0.4,0.32,2.042301,-0.00111,7.50773,0.001142,1380,0.17083,0.8,0.81818,,,-0.01,0.01155,-0.01346,-0.0159,-0.00186,0.03049
61,62464,-2.65363,153.0,0.0,0.31,2.027769,0.000115,1.575775,0.003569,1296,0.18136,1.0,1.0,,,-0.01,0.01004,-0.01924,-0.01945,-0.00272,-0.00046
62,63488,3.61453,425.33333,0.33333,0.32,2.000583,-0.000286,14.929941,9.3e-05,1355,0.19141,0.33333,0.75,,,-0.01,0.01073,-0.01404,-0.02371,-0.00112,0.07419
63,64512,-5.28939,282.25,0.0,0.32,2.013249,-0.016092,1.519627,0.006229,1359,0.19238,1.0,0.7234,,,-0.01,0.00923,-0.01747,-0.02198,-0.00237,-0.0015
64,65536,6.197,338.8,0.4,0.33,2.010396,-0.000755,21.658753,0.004512,1213,0.16728,0.4,0.66102,,,-0.01,0.01187,-0.00779,-0.01554,0.00023,0.10983
65,66560,21.01657,188.0,0.75,0.35,2.024409,0.002672,32.437648,0.004088,1324,0.18775,0.75,0.67391,,,-0.01,0.01225,-0.01194,-0.02453,-0.00274,0.15868
66,67584,10.75632,280.0,0.33333,0.35,2.032241,0.025458,13.996091,0.000999,1340,0.1855,0.66667,0.66667,,,-0.01,0.01225,-0.01303,-0.02009,-0.003,0.07996
67,68608,-4.64112,280.66667,0.0,0.34,1.866701,0.024067,2.382504,0.0054,1700,0.20871,1.0,0.80952,,,-0.01,0.00981,-0.02674,-0.02217,-0.00631,-0.0012
68,69632,-0.35371,313.66667,0.33333,0.35,1.967151,0.07045,10.188494,0.000216,1141,0.16674,0.66667,0.71429,,,-0.01,0.0125,-0.00586,-0.0196,-0.00275,0.06505
69,70656,3.74044,150.33333,0.33333,0.35,1.970749,-0.001136,7.777591,0.000969,1370,0.19083,0.66667,0.83333,,,-0.01,0.01032,-0.0074,-0.02232,-0.00662,0.03273
70,71680,20.51054,166.25,0.5,0.36,1.963804,0.002939,37.099218,0.003645,1574,0.2068,0.75,0.59259,,,-0.01,0.01208,-0.0157,-0.02486,-0.00511,0.19428
71,72704,-6.28129,357.66667,0.0,0.34,1.997835,-0.003484,2.807588,0.004187,1607,0.20781,1.0,0.60784,,,-0.01,0.01211,-0.02744,-0.01676,0.00249,-0.00057
72,73728,22.39626,306.33333,0.66667,0.33,2.068561,0.002661,52.287283,0.006719,1248,0.16976,0.0,0.7193,,,-0.01,0.01201,-0.00825,-0.01985,-0.00038,0.266
73,74752,nan,nan,0.0,0.33,1.988424,0.057896,2.848249,0.004259,1708,0.2081,0.0,0.0,,,-0.01,0.00933,-0.02557,-0.01621,-0.00299,0.0
74,75776,17.0042,304.75,0.75,0.36,1.966799,0.000942,38.51507,0.003364,1730,0.19269,0.75,0.70175,,,-0.01,0.01339,-0.02763,-0.01815,-0.0051,0.19115
75,76800,-9.24957,340.33333,0.0,0.35,1.924931,0.089215,2.935591,0.003895,1820,0.22291,0.33333,0.98361,,,-0.01,0.01149,-0.0356,-0.02137,-0.00588,-0.00069
