iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
92,94208,40.51794,150.28571,1.0,0.85,1.644999,0.000807,26.156391,0.001381,1649,0.14457,-0.01,0.00516,0.00305,0.00425,-0.06635,0.35939
93,95232,44.65084,146.0,1.0,0.88,1.695369,-0.047293,16.287454,0.001086,1685,0.14964,-0.01,0.00438,0.00923,0.00516,0.00102,0.2696
94,96256,36.96376,192.6,1.0,0.91,1.605093,-0.001541,18.435653,0.000402,1739,0.14293,-0.01,0.00453,0.00762,0.00466,-0.05185,0.23404
95,97280,31.58433,197.85714,0.85714,0.91,1.548026,0.000303,23.011823,0.000261,1747,0.13971,-0.01,0.00425,0.00016,0.00468,-0.02179,0.31143
96,98304,31.46606,182.16667,0.83333,0.92,1.595553,0.062639,13.737602,0.001052,1658,0.13686,-0.01,0.00495,0.01331,0.00461,0.00185,0.22637
97,99328,39.2463,159.2,1.0,0.93,1.67432,-0.000137,26.830339,0.002571,1718,0.14396,-0.01,0.00423,0.0063,0.00496,-0.08442,0.25014
98,100352,25.84914,155.0,1.0,0.95,1.65786,0.039206,34.580669,0.010222,1617,0.14354,-0.01,0.00525,0.01152,0.0044,-0.07556,0.26396
99,101376,27.96723,181.0,1.0,0.95,1.681059,0.033021,19.864019,0.001566,1659,0.14697,-0.01,0.00437,0.00946,0.00456,-0.08156,0.13883
100,102400,27.64116,236.0,0.83333,0.94,1.683237,0.055362,25.267087,0.001214,1678,0.14492,-0.01,0.00396,0.0066,0.00478,-0.08091,0.23718
101,103424,52.40416,366.0,1.0,0.94,1.750312,-0.000588,10.260826,0.000661,1824,0.15793,-0.01,0.00273,0.00614,0.00393,-0.02788,0.05817
102,104448,2.9267,284.75,0.5,0.92,1.716372,-4.4e-05,22.668034,0.003598,1919,0.16309,-0.01,0.00303,0.00861,0.00528,-0.08648,0.1105
103,105472,5.03965,357.25,0.5,0.9,1.774179,-0.196296,28.110469,0.005882,1983,0.182,-0.01,0.00165,0.00821,0.00526,-0.02453,0.10332
104,106496,23.70972,361.5,0.5,0.89,1.667869,0.005323,4.069427,0.000496,1754,0.15484,-0.01,0.00364,0.00292,0.00557,0.00239,0.05186
105,107520,-21.50793,450.0,0.0,0.87,1.736464,-0.000817,4.92688,0.000853,1729,0.15249,-0.01,0.00385,0.0015,0.00483,-0.02695,0.0
106,108544,35.83125,353.25,0.75,0.86,1.749906,-0.000535,16.83446,0.000147,1678,0.14668,-0.01,0.00361,0.00158,0.00478,-0.02442,0.15891
107,109568,-5.21442,358.5,0.5,0.85,1.714405,0.063129,15.132919,0.000175,1916,0.15989,-0.01,0.00318,0.00225,0.00399,-0.05782,0.04738
108,110592,15.06149,341.0,0.5,0.85,1.799585,0.005394,13.354243,0.000626,1932,0.16465,-0.01,0.00235,-0.00028,0.00512,-0.06772,0.06986
109,111616,18.94897,352.0,0.66667,0.84,1.756836,-0.000478,17.525507,0.000384,1906,0.16499,-0.01,0.00374,-0.0081,0.00505,-0.04775,0.10522
110,112640,1.30828,401.66667,0.33333,0.83,1.795736,-0.007524,10.773086,0.000727,1915,0.16985,-0.01,0.00286,-0.00128,0.0043,-0.062,0.05651
111,113664,6.13453,395.0,0.33333,0.81,1.770338,-0.000678,9.103823,0.000108,1960,0.17203,-0.01,0.00356,0.00103,0.00507,-0.02811,0.0688
112,114688,-22.38758,450.0,0.0,0.8,1.822909,-0.001473,1.177757,0.001145,1901,0.15937,-0.01,0.00245,3e-05,0.00468,-0.00127,0.0
113,115712,-0.21807,363.66667,0.33333,0.78,1.76077,-0.001134,7.391236,0.000503,1684,0.14475,-0.01,0.00381,-0.0048,0.00469,0.00122,0.05472
114,116736,34.86312,343.75,0.75,0.77,1.717038,-0.001247,27.238751,0.000804,1624,0.14376,-0.01,0.00347,0.00093,0.00456,-0.0493,0.15589
115,117760,38.25591,168.0,1.0,0.77,1.75665,-0.000536,8.885762,0.000619,1909,0.15273,-0.01,0.00155,-0.00064,0.00331,0.00201,0.04783
116,118784,-24.315,450.0,0.0,0.75,1.763076,-0.000382,0.848842,0.000441,1845,0.14897,-0.01,0.00283,-0.00398,0.00389,-0.0004,0.0
117,119808,13.46277,394.25,0.25,0.72,1.741595,-0.001076,8.962162,0.000401,1644,0.14139,-0.01,0.00319,0.00538,0.00423,-0.00027,0.05634
118,120832,-1.96783,450.0,0.0,0.69,1.715451,-0.00083,2.480418,0.000423,1615,0.14161,-0.01,0.00378,0.00081,0.0049,-0.01533,0.0
119,121856,nan,nan,0.0,0.69,1.806174,-0.06,0.449308,0.001023,1736,0.14755,-0.01,0.00276,0.00103,0.00449,-0.00033,0.0
120,122880,-8.57709,450.0,0.0,0.67,1.785939,-0.020249,0.495833,0.001662,1628,0.14013,-0.01,0.00356,0.00569,0.00464,-0.00045,0.0
