iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
100,102400,32.80813,119.85714,1.0,0.88,1.253868,-0.062714,17.340116,0.001379,3219,0.15895,-0.01,0.0089,-0.00929,-0.00119,0.00185,0.28163
101,103424,29.12058,108.125,0.75,0.87,1.222461,-0.000823,23.333913,0.000686,3017,0.16149,-0.01,0.00909,-0.00105,-0.00206,-0.02813,0.27304
102,104448,35.1457,117.625,1.0,0.89,1.22887,-0.000852,23.809768,0.000505,3182,0.1568,-0.01,0.01132,-0.00496,-0.00172,0.00182,0.37504
103,105472,24.8547,151.25,0.75,0.87,1.229719,-0.017073,15.666328,0.00212,3282,0.16853,-0.01,0.00998,-0.01379,-0.00119,-0.00814,0.27942
104,106496,29.67539,116.71429,0.85714,0.88,1.299084,0.038382,27.184925,0.001205,3212,0.16708,-0.01,0.00874,-0.00978,-0.00227,-0.02091,0.27183
105,107520,23.63957,144.7,0.6,0.85,1.303204,-0.001163,18.62562,0.000729,3422,0.1457,-0.01,0.00912,-0.00993,-0.0016,-0.01752,0.36558
106,108544,32.4054,118.33333,0.83333,0.85,1.291185,-0.000563,21.518966,0.000415,3046,0.15523,-0.01,0.00872,-0.00669,-0.00228,-0.02153,0.23933
107,109568,32.91717,124.88889,1.0,0.85,1.256729,0.069891,20.783948,0.002503,3134,0.15883,-0.01,0.0093,-0.00758,-0.00197,0.00296,0.35064
108,110592,17.30388,105.75,0.625,0.84,1.250922,-0.000692,27.380491,0.002486,3347,0.17331,-0.01,0.00981,-0.01345,-0.00178,-0.0273,0.19692
109,111616,24.78061,125.88889,0.77778,0.83,1.306363,-0.000243,26.917934,0.000506,3175,0.15334,-0.01,0.00939,-0.0116,-0.00175,-0.01149,0.28498
110,112640,31.92931,121.75,0.875,0.83,1.281232,-8.1e-05,19.109317,0.000954,3421,0.15738,-0.01,0.00896,-0.00809,-0.00182,-0.02166,0.33039
111,113664,31.38136,123.55556,0.77778,0.81,1.241677,-0.037348,26.46863,0.00072,3196,0.15387,-0.01,0.00845,-0.00503,-0.0022,-0.00715,0.35036
112,114688,25.53528,102.22222,0.77778,0.8,1.265775,0.000445,24.76357,0.000516,3361,0.17504,-0.01,0.00856,-0.00958,-0.00164,-0.0129,0.29905
113,115712,36.53435,112.625,0.875,0.81,1.296044,0.10579,26.143487,0.004229,3363,0.17246,-0.01,0.00917,-0.02014,-0.00058,-0.00757,0.36758
114,116736,21.15191,177.875,0.875,0.8,1.313517,-0.046256,24.272636,0.001502,3433,0.16525,-0.01,0.00883,-0.01748,-0.00138,-0.00705,0.25068
115,117760,19.84917,124.71429,0.85714,0.8,1.278395,-0.033458,24.297873,0.004101,3322,0.16537,-0.01,0.01087,-0.01032,-0.00157,-0.00697,0.1824
116,118784,38.35137,110.7,1.0,0.82,1.262228,0.055991,20.004507,0.003067,3093,0.16108,-0.01,0.0092,-0.00619,-0.00168,-0.01015,0.44662
117,119808,32.61839,93.22222,0.88889,0.85,1.262853,0.067298,35.214525,0.002448,3405,0.16793,-0.01,0.00996,-0.00643,-0.0019,-0.01605,0.37907
118,120832,34.84087,105.84615,0.92308,0.85,1.299702,0.000498,19.384798,0.000565,3057,0.16255,-0.01,0.00993,-0.00845,-0.00198,-0.01103,0.51566
119,121856,34.9926,93.3,0.8,0.86,1.284879,-0.033246,26.917524,0.002249,3110,0.15538,-0.01,0.01038,-0.00663,-0.00248,-0.01166,0.41284
120,122880,31.89783,108.88889,1.0,0.88,1.241178,-0.000135,27.280739,0.000581,3418,0.17701,-0.01,0.01132,-0.01121,-0.00172,0.00237,0.35963
121,123904,44.09928,93.55556,1.0,0.89,1.22015,-0.146644,30.164983,0.001148,3089,0.16286,-0.01,0.01021,-0.00742,-0.00191,0.00402,0.43114
122,124928,44.16789,105.33333,1.0,0.92,1.340009,-0.000217,18.923057,0.000666,2994,0.1786,-0.01,0.01003,-0.01399,-0.00186,0.00516,0.58821
123,125952,31.04678,100.0,0.88889,0.92,1.293248,0.044889,34.750151,0.001981,3207,0.17109,-0.01,0.00907,-0.00877,-0.00201,-0.007,0.3358
