iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
60,61440,42.12085,125.33333,0.83333,0.83,0.790577,0.000321,22.34969,0.001255,2647,0.19101,-0.01,0.03437,-0.00149,-0.00345,-0.03863,0.2934
61,62464,14.90142,229.5,0.5,0.81,0.879475,0.011382,18.138941,0.001837,2670,0.20218,-0.01,0.03177,-0.00221,-0.00375,-0.05478,0.12743
62,63488,37.88356,181.375,0.625,0.78,0.915456,-0.188333,38.506393,0.002635,3241,0.22578,-0.01,0.03061,-0.00277,-0.00341,-0.02221,0.35189
63,64512,34.14747,189.625,0.625,0.75,0.879762,0.028139,29.776058,0.001061,2903,0.20894,-0.01,0.02913,-0.00246,-0.00284,-0.01322,0.37152
64,65536,55.09474,89.2,1.0,0.76,0.784726,0.045934,26.172585,0.001709,2462,0.19259,-0.01,0.043,-0.00156,-0.00239,-0.00451,0.5654
65,66560,43.57353,108.55556,0.88889,0.77,0.793887,0.036027,29.277764,0.002334,2400,0.18831,-0.01,0.04823,-0.00151,-0.00375,0.02149,0.42522
66,67584,58.80356,76.5,1.0,0.79,0.756398,-0.000762,24.414008,0.000812,2428,0.20573,-0.01,0.05006,-0.00213,-0.00382,-0.00829,0.4483
67,68608,39.47747,159.5,0.75,0.81,0.775014,-0.017899,18.664526,0.002987,2626,0.20521,-0.01,0.04714,-0.00227,-0.00293,-0.04176,0.31778
68,69632,52.66272,84.5,1.0,0.83,0.732653,0.271379,55.384761,0.001083,2764,0.21984,-0.01,0.04067,-0.00272,-0.00328,-0.04826,0.252
69,70656,27.42929,194.625,0.625,0.81,0.857563,-0.000592,26.761268,0.000779,2909,0.21571,-0.01,0.03873,-0.00235,-0.00266,-0.01024,0.31081
70,71680,41.90656,146.5,0.83333,0.82,0.887995,0.021317,32.660676,0.004392,2853,0.21839,-0.01,0.03811,-0.00243,-0.00408,-0.05349,0.30702
71,72704,48.55233,142.8,0.8,0.81,0.831481,0.003318,30.52152,0.004337,2522,0.21504,-0.01,0.04423,-0.00228,-0.00331,0.02256,0.49415
72,73728,50.3425,119.0,0.875,0.81,0.806059,-0.000236,27.529962,0.000781,2604,0.2115,-0.01,0.04383,-0.00235,-0.00368,-0.00529,0.42103
73,74752,52.16921,109.4,0.9,0.82,0.812079,-0.001371,27.999825,0.001224,2337,0.21057,-0.01,0.04835,-0.00187,-0.00386,-0.00503,0.50934
74,75776,53.30892,110.11111,0.88889,0.84,0.812426,-0.00075,23.228665,0.001497,2550,0.21295,-0.01,0.04811,-0.00244,-0.00303,0.01766,0.47228
75,76800,47.97394,120.375,0.875,0.85,0.868653,0.05252,19.771248,0.00083,2573,0.20155,-0.01,0.04853,-0.0025,-0.00256,-0.03349,0.39595
