iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
135,138240,19.46428,79.66667,0.8,0.84,1.368465,-0.000711,13.055223,0.00145,4031,-0.01,0.00756,0.00167,-0.00691,-0.00112,0.32776
136,139264,23.72978,70.0,1.0,0.86,1.423401,-0.068294,9.583858,0.004132,3725,-0.01,0.00717,0.00124,-0.00794,0.00839,0.33371
137,140288,20.28251,76.28571,0.78571,0.85,1.515816,0.02334,7.48857,0.008037,3873,-0.01,0.00676,0.00089,-0.00767,0.00445,0.31274
138,141312,17.8398,83.0,0.90909,0.88,1.472386,-0.022416,8.99226,0.004342,4070,-0.01,0.00602,0.0018,-0.00619,0.00261,0.22492
139,142336,19.8073,96.27273,0.81818,0.9,1.461978,0.00707,7.357176,0.003618,4055,-0.01,0.00637,0.00159,-0.00515,0.00221,0.25484
140,143360,12.85344,101.16667,0.75,0.87,1.454029,-0.112375,7.501319,0.003633,4195,-0.01,0.00452,0.00311,-0.00503,0.0022,0.19563
141,144384,18.39346,80.27273,0.81818,0.85,1.562351,-0.000998,8.184948,0.003761,3934,-0.01,0.00488,0.00152,-0.0058,0.00456,0.23338
142,145408,22.4349,98.18182,1.0,0.85,1.522451,-0.002318,6.908536,0.005049,4049,-0.01,0.0053,0.00214,-0.00509,0.00537,0.27122
143,146432,27.31383,92.4,1.0,0.86,1.550977,-0.063613,5.672309,0.002317,3836,-0.01,0.00564,0.00026,-0.00631,0.00941,0.28672
144,147456,23.18852,89.69231,0.92308,0.88,1.45455,0.000516,7.63732,0.006489,4008,-0.01,0.00572,0.00112,-0.00466,0.00801,0.34487
145,148480,21.99279,77.53846,0.92308,0.9,1.456417,-0.002658,10.593684,0.005653,3938,-0.01,0.00694,0.00242,-0.00718,0.00554,0.30939
146,149504,18.573,87.33333,0.91667,0.89,1.453383,-0.003571,10.223411,0.003824,4109,-0.01,0.00429,0.00098,-0.00679,0.00404,0.26132
147,150528,19.55878,86.41667,0.91667,0.9,1.413444,-0.003716,8.422675,0.003633,3829,-0.01,0.00528,0.00123,-0.00575,0.00506,0.26294
148,151552,25.22408,81.5,1.0,0.93,1.475792,-0.045987,7.884941,0.006303,3818,-0.01,0.00604,0.00159,-0.00603,0.00932,0.33097
149,152576,22.87422,77.35714,0.92857,0.94,1.427961,0.001237,10.750947,0.002261,3926,-0.01,0.00639,0.00245,-0.0063,0.00606,0.35734
150,153600,22.6831,82.0,1.0,0.95,1.43761,-0.001842,8.530177,0.004217,3994,-0.01,0.00637,0.00205,-0.00732,0.008,0.2739
151,154624,23.52302,85.58333,1.0,0.95,1.467386,0.02409,5.475393,0.006074,3875,-0.01,0.00609,0.00111,-0.00757,0.00793,0.31045
152,155648,20.21029,112.22222,0.88889,0.94,1.519079,-0.00098,6.993496,0.002376,4146,-0.01,0.00431,0.00086,-0.00773,0.00539,0.21609
153,156672,18.1441,104.1,0.9,0.94,1.495464,-0.048426,8.110079,0.003498,4154,-0.01,0.0051,0.0007,-0.00648,0.00271,0.22114
154,157696,16.76766,101.55556,0.77778,0.93,1.434539,-0.008347,11.537541,0.00276,4219,-0.01,0.00481,0.00059,-0.00813,-0.00037,0.17889
