iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
100,102400,30.96218,124.0,0.8,0.45,1.620712,-0.047182,32.081574,0.006472,3700,-0.01,0.00857,9e-05,-0.00033,-0.02885,0.22956
101,103424,-9.20716,203.5,0.25,0.44,1.535695,0.010777,13.637769,0.008796,4695,-0.01,0.00723,-0.00158,0.00086,-0.03247,0.02167
102,104448,9.24404,236.83333,0.33333,0.43,1.591773,0.051715,25.721207,0.007699,4142,-0.01,0.00624,-0.00186,0.00077,-0.02613,0.1028
103,105472,12.96319,215.0,0.4,0.43,1.553477,-0.000359,20.856016,0.004392,3810,-0.01,0.00777,-0.00161,0.0009,-0.03621,0.11769
104,106496,10.17051,134.75,0.25,0.44,1.514621,0.027978,12.654247,0.001941,3984,-0.01,0.0077,-0.00058,0.00052,-0.01782,0.08342
105,107520,27.74124,166.44444,0.77778,0.46,1.543312,0.076447,43.456216,0.005637,3650,-0.01,0.00891,-0.00023,0.00044,0.00241,0.3385
106,108544,27.52278,173.42857,0.71429,0.49,1.601748,-0.006156,33.638721,0.008343,4148,-0.01,0.00925,-6e-05,-0.00045,0.00118,0.26606
107,109568,12.05746,193.6,0.4,0.49,1.591246,-0.001963,24.706074,0.005533,4059,-0.01,0.00811,-0.004,0.00055,-0.0576,0.1149
108,110592,25.32352,156.75,0.75,0.5,1.598349,-0.001137,36.596599,0.003062,3883,-0.01,0.00538,-0.00388,-0.00033,-0.06521,0.20642
109,111616,14.90857,209.5,0.5,0.5,1.573923,-0.007211,16.753681,0.002908,4009,-0.01,0.00668,-0.00339,-0.0002,-0.00096,0.14642
110,112640,21.86646,194.11111,0.66667,0.49,1.658819,-0.125707,58.405136,0.006179,4295,-0.01,0.00766,-0.00434,0.00084,-0.04618,0.33056
111,113664,31.31963,176.0,0.66667,0.51,1.633387,0.001517,30.252164,0.005471,3598,-0.01,0.00784,-0.00703,-0.00082,-0.01842,0.2478
112,114688,-1.09322,147.0,0.4,0.51,1.627178,0.000507,37.542171,0.006571,4162,-0.01,0.00703,-0.00093,-0.00022,-0.11371,0.05145
113,115712,13.51915,182.66667,0.66667,0.51,1.666227,-0.112182,21.659327,0.022227,4929,-0.01,0.00594,-0.00618,-0.00029,-0.0461,0.09909
