iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
40,40960,0.13605,101.45455,0.0,0.0,1.383596,-0.003603,0.208308,0.002178,1508,0.12367,1.0,0.0,0.71111,2.77837,-0.01,0.05006,0.00162,-0.01577,-0.01832,-0.0057
41,41984,1.14681,101.55556,0.0,0.0,1.480802,-0.004879,0.211907,0.006567,1519,0.12393,1.0,0.0,0.65686,2.44723,-0.01,0.0582,0.00274,-0.01303,-0.01753,-0.00573
42,43008,1.12753,97.72727,0.0,0.0,1.417628,-0.003058,0.19846,0.001669,1483,0.13559,1.0,0.0,0.65501,2.60095,-0.01,0.05661,0.0015,-0.01186,-0.01777,-0.0062
43,44032,0.75382,106.0,0.0,0.0,1.464219,0.13009,0.227741,0.005846,1597,0.11583,1.0,0.0,0.71212,2.6187,-0.01,0.05515,0.00266,-0.01513,-0.01662,-0.00573
44,45056,0.52837,102.2,0.0,0.0,1.40624,-0.046946,0.183886,0.003547,1525,0.12902,1.0,0.0,0.73577,2.72754,-0.01,0.05073,0.00257,-0.0127,-0.02058,-0.00579
45,46080,0.86982,104.36364,0.0,0.0,1.439786,-0.003946,0.194366,0.003893,1545,0.12073,1.0,0.0,0.78395,3.17871,-0.01,0.05231,0.0027,-0.0152,-0.0182,-0.00635
46,47104,0.90023,97.55556,0.0,0.0,1.429052,-0.005066,0.185318,0.004504,1529,0.10807,1.0,0.0,0.67347,3.34771,-0.01,0.0537,0.00323,-0.00993,-0.01642,-0.00517
47,48128,1.35656,103.0,0.0,0.0,1.346264,-0.000203,0.139037,0.002247,1554,0.11848,1.0,0.0,0.65762,3.20639,-0.01,0.05252,0.00451,-0.00758,-0.01988,-0.00535
48,49152,0.8724,94.0,0.0,0.0,1.362227,0.071112,0.221741,0.007291,1520,0.11085,1.0,1.0,0.74651,3.10598,-0.01,0.05512,0.00265,-0.01326,-0.02247,-0.00683
49,50176,1.71805,100.33333,0.0,0.0,1.346156,-0.074326,0.152084,0.004938,1527,0.09271,1.0,0.0,0.75879,3.07818,-0.01,0.06198,0.00169,-0.01377,-0.01464,-0.00462
50,51200,1.28338,98.88889,0.0,0.0,1.295488,-0.003205,0.185611,0.005095,1525,0.099,1.0,1.0,0.8073,2.69142,-0.01,0.06243,0.00434,-0.01435,-0.01702,-0.00514
51,52224,1.61836,103.16667,0.0,0.0,1.333443,-0.002741,0.165628,0.003492,1493,0.11537,1.0,0.0,0.83241,2.93465,-0.01,0.05745,0.00313,-0.01015,-0.02125,-0.00683
52,53248,2.42079,102.09091,0.0,0.0,1.326802,-0.004677,0.162371,0.003376,1527,0.11726,1.0,1.0,0.92939,2.43085,-0.01,0.06261,0.00201,-0.00879,-0.01764,-0.00575
53,54272,2.09948,106.625,0.0,0.0,1.331215,-0.003459,0.11899,0.002571,1508,0.09809,1.0,0.0,0.90843,2.43257,-0.01,0.06207,0.00216,-0.00767,-0.01367,-0.00412
