iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
33,33792,-6.58128,281.33333,0.0,0.02,1.009059,-0.002803,0.022802,0.001829,0.562376,0.012556,0.919317,-1.839296,3.533844,-2.138903,3.841352,4.0,9.891e-05,3,980,0.22085,0.2938,0.43,1.0,0.84615,,,-0.01,0.0052,-0.00382,-0.02017,-0.00452,-0.00804
34,34816,-7.5557,450.0,0.0,0.02,1.175385,-0.002425,0.021198,0.000867,0.293138,0.001081,0.927204,-2.727359,4.115227,-2.791183,4.468228,4.0,9.887e-05,1,978,0.22808,0.30143,0.43,1.0,0.35294,,,-0.01,0.00435,-0.00174,-0.01821,-0.00339,0.0
35,35840,-6.11083,450.0,0.0,0.02,1.478423,-0.003209,0.016923,0.002486,0.347011,0.0226,0.955202,-3.39431,4.771471,-3.531544,5.245222,4.0,9.884e-05,4,923,0.22533,0.30171,0.43,0.75,0.83607,,,-0.01,0.00566,-0.00311,-0.02055,-0.00194,0.0
36,36864,-9.67484,301.33333,0.0,0.02,1.412905,-0.003622,0.028414,0.003159,0.2912,0.035679,0.92699,-2.825045,5.044729,-2.732642,4.953405,4.0,9.881e-05,3,879,0.21068,0.29147,0.41,1.0,0.56667,,,-0.01,0.00763,-0.00067,-0.01646,-0.01601,-0.00573
37,37888,-7.50101,263.5,0.0,0.02,1.137488,-0.002845,0.026774,0.001781,0.267644,0.011509,0.901037,-2.432799,4.473586,-2.411275,4.28327,4.0,9.877e-05,6,886,0.19647,0.27878,0.39,1.0,0.78,,,-0.01,0.01056,0.00018,-0.01586,-0.01922,-0.01715
38,38912,-5.43805,196.8,0.0,0.02,0.99431,-0.003671,0.018769,0.001773,0.344067,0.031669,0.90756,-1.983381,3.986882,-1.976498,3.72124,4.0,9.874e-05,5,960,0.20486,0.28217,0.36,1.0,0.66667,,,-0.01,0.0111,-0.00316,-0.01255,-0.01536,-0.01563
39,39936,-4.99314,116.2,0.0,0.02,0.902377,-0.000947,0.015133,0.000363,0.260965,0.000942,0.915889,-1.910263,3.612092,-1.941045,3.433004,4.0,9.87e-05,5,966,0.19896,0.29232,0.34,1.0,0.69565,,,-0.01,0.01231,-0.00181,-0.01233,-0.02562,-0.02143
40,40960,-4.73487,185.25,0.0,0.02,1.082544,-0.002212,0.014088,0.00085,0.256751,0.003697,0.923411,-2.049641,3.430226,-2.069834,3.362272,4.0,9.867e-05,8,933,0.19266,0.28222,0.32,1.0,0.77083,,,-0.01,0.01237,-0.00065,-0.01492,-0.02161,-0.02187
41,41984,7.29697,215.33333,0.16667,0.03,1.015031,-0.000783,0.736835,0.001014,0.649263,0.003488,0.179956,-1.964615,2.956466,-0.714017,7.459813,4.0,9.863e-05,6,915,0.2215,0.31934,0.31,1.0,0.82609,,,-0.01,0.01124,-0.00317,-0.01381,-0.02075,0.11898
42,43008,-4.77915,120.33333,0.0,0.03,1.06141,-0.001507,0.024025,0.000227,0.312457,7e-05,0.882294,-0.547947,3.125326,-0.681334,3.155789,4.0,9.86e-05,3,906,0.20752,0.30336,0.3,1.0,0.72727,,,-0.01,0.00728,-0.00023,-0.01708,-0.01344,-0.01128
43,44032,-5.61169,253.0,0.0,0.03,0.493783,-0.002038,0.009931,0.000863,0.210069,0.007045,0.897829,0.876906,2.54799,0.919143,2.518627,4.0,9.857e-05,1,1053,0.16063,0.21877,0.3,1.0,0.57143,,,-0.01,0.00996,-0.00497,-0.00928,-0.01456,-0.00714
44,45056,-5.08559,339.8,0.0,0.03,0.700243,-0.002287,0.011742,0.000576,0.212793,0.000453,0.916094,0.526197,3.124777,0.508769,3.02227,4.0,9.853e-05,5,986,0.18309,0.25444,0.32,1.0,0.72727,,,-0.01,0.01102,-0.00302,-0.01094,-0.01327,-0.01057
45,46080,-4.24685,239.0,0.0,0.03,0.823963,-0.001726,0.018426,0.0015,0.267437,0.008684,0.882634,0.258121,3.046708,0.091975,3.077223,4.0,9.85e-05,5,917,0.18698,0.27261,0.31,1.0,0.71429,,,-0.01,0.01106,-0.00025,-0.01753,-0.02001,-0.01347
46,47104,11.55809,268.5,0.25,0.04,0.745626,-0.000769,0.611449,0.000847,0.58957,0.008161,0.217452,-0.115671,2.956312,0.957754,6.940763,4.0,9.846e-05,4,941,0.18983,0.27124,0.31,0.75,0.86111,,,-0.01,0.01155,-0.00392,-0.01485,-0.01546,0.14856
47,48128,-4.81342,124.0,0.0,0.04,0.555209,-0.00086,0.016663,7.8e-05,0.223894,0.0,0.885728,2.128731,2.746731,2.06494,2.77773,4.0,9.843e-05,1,1026,0.17493,0.24214,0.3,1.0,0.66667,,,-0.01,0.0094,-0.00386,-0.01983,-0.01463,-0.00667
48,49152,-5.23732,382.0,0.0,0.04,0.817188,-0.001164,0.027621,0.000405,0.320721,0.0,0.859338,1.477761,3.538691,1.171293,3.549053,4.0,9.84e-05,5,957,0.18185,0.25682,0.29,1.0,0.89362,,,-0.01,0.01157,-3e-05,-0.01828,-0.00957,-0.01841
49,50176,6.44221,258.0,0.2,0.05,0.971808,-0.000458,0.505334,0.001157,0.444277,0.002058,0.306691,0.943275,3.334513,1.751647,6.823003,4.0,9.836e-05,5,957,0.18406,0.26322,0.27,1.0,0.80645,,,-0.01,0.01069,0.00077,-0.01611,-0.01304,0.10113
50,51200,6.43005,187.5,0.16667,0.06,1.188252,-0.000455,0.572895,0.000312,0.444628,0.0,0.311172,1.258388,3.450584,2.055986,7.510292,4.0,9.833e-05,6,895,0.19108,0.26802,0.26,1.0,0.65217,,,-0.01,0.0123,0.00016,-0.01523,-0.01295,0.09138
51,52224,-4.67999,120.75,0.0,0.06,1.103916,-0.001829,0.049453,0.001746,0.281053,0.010742,0.781856,2.641663,3.710028,2.44528,3.763929,4.0,9.829e-05,4,895,0.18321,0.26739,0.26,1.0,0.57143,,,-0.01,0.01056,-0.00024,-0.01494,-0.01564,-0.01343
52,53248,-4.75136,243.5,0.0,0.06,0.859796,-0.001325,0.04468,0.000547,0.254764,0.000698,0.778385,3.913492,4.060524,3.905957,3.866438,4.0,9.826e-05,4,996,0.17181,0.24258,0.25,1.0,0.75676,,,-0.01,0.01002,-0.00054,-0.01408,-0.01213,-0.01233
53,54272,-4.70849,191.5,0.0,0.06,0.755294,-0.001218,0.033505,0.000546,0.304391,0.000349,0.845235,5.105006,3.88313,4.890706,3.904677,4.0,9.823e-05,4,1046,0.16861,0.23844,0.26,1.0,0.75,,,-0.01,0.01017,-0.00054,-0.01548,-0.01212,-0.01397
54,55296,31.03996,324.75,0.5,0.07,0.832107,-0.000451,0.961058,0.000252,0.82286,0.0,0.20433,4.857533,3.747662,7.34873,9.471338,4.0,9.819e-05,4,1017,0.18374,0.24297,0.27,0.5,0.72727,,,-0.01,0.01055,0.00176,-0.01863,-0.00725,0.291
55,56320,21.27596,343.0,0.33333,0.08,0.755879,-0.000912,0.465168,0.000301,0.582014,0.0,0.278914,7.197593,3.729891,8.629558,7.16986,4.0,9.816e-05,3,1010,0.18097,0.24968,0.28,1.0,1.0,,,-0.01,0.00906,-0.00106,-0.01843,-0.00305,0.16055
56,57344,-6.05085,342.0,0.0,0.08,0.673292,-0.001469,0.035698,0.001723,0.433151,0.027832,0.771872,10.15537,3.636011,9.923532,3.579229,4.0,9.812e-05,1,1047,0.18366,0.25101,0.27,1.0,0.75,,,-0.01,0.00821,-0.00116,-0.02048,-0.00593,-0.00515
57,58368,-4.06742,390.66667,0.0,0.08,0.747506,-0.00167,0.039058,0.001607,0.452626,0.020194,0.737602,10.331717,3.5446,9.861728,3.551174,4.0,9.809e-05,3,1072,0.17466,0.23169,0.27,1.0,0.58333,,,-0.01,0.00645,-0.00152,-0.02494,-0.00475,-0.00454
58,59392,-6.76209,450.0,0.0,0.07,1.100989,-0.001975,0.019968,0.001217,0.283826,0.005545,0.874465,7.941982,3.935839,7.891,3.908831,4.0,9.805e-05,3,968,0.20886,0.27848,0.3,0.33333,0.80645,,,-0.01,0.00825,0.00033,-0.0191,-0.0028,0.0
59,60416,-6.87594,450.0,0.0,0.07,0.940595,-0.004023,0.01522,0.001657,0.332506,0.019601,0.884616,8.626426,3.608117,8.584481,3.616985,4.0,9.802e-05,1,1024,0.23151,0.3041,0.3,1.0,0.5,,,-0.01,0.00734,-0.00094,-0.02013,-0.00291,0.0
60,61440,15.52982,428.0,0.33333,0.08,0.892791,-0.000599,0.290735,0.00104,0.320766,0.000244,0.260707,8.5632,3.477811,9.56225,6.219779,4.0,9.799e-05,3,978,0.17781,0.23812,0.29,0.66667,0.7,,,-0.01,0.0092,-0.00205,-0.01756,0.00064,0.12467
61,62464,19.29614,312.5,0.33333,0.1,1.102931,-0.001081,0.613778,0.000221,0.721392,0.000628,0.278486,9.157836,4.108811,11.390212,9.338631,4.0,9.795e-05,6,922,0.18937,0.26661,0.29,0.66667,0.69388,,,-0.01,0.01025,0.00027,-0.01822,-0.00345,0.21852
62,63488,35.85338,195.14286,0.57143,0.14,1.145236,-0.001187,0.86263,0.001264,1.325656,0.009277,0.365123,10.368724,4.977864,14.262624,12.666537,4.0,9.792e-05,7,929,0.18565,0.26076,0.29,0.57143,0.8,,,-0.01,0.01261,0.00057,-0.02022,-0.01016,0.4279
63,64512,-4.50999,120.6,0.0,0.14,0.940893,-0.001624,0.136291,0.001533,0.634,0.006069,0.652889,13.384271,6.195971,12.345376,6.581475,4.0,9.788e-05,5,987,0.19863,0.27901,0.28,1.0,1.0,,,-0.01,0.01197,-0.00066,-0.01978,-0.00949,-0.0192
64,65536,30.48385,181.0,0.5,0.15,0.68072,-0.001066,0.090151,0.000796,0.38404,0.000942,0.700547,12.612317,5.828848,12.584068,6.118091,4.0,9.785e-05,2,1067,0.1623,0.22817,0.28,0.5,0.8,,,-0.01,0.00983,-0.00048,-0.0206,-0.01512,0.17118
65,66560,-3.21576,329.66667,0.0,0.15,0.707299,-0.001672,0.023988,0.000499,0.298191,7e-05,0.883621,13.008107,5.121849,12.846623,5.118944,4.0,9.782e-05,3,1010,0.18726,0.24991,0.29,0.66667,0.83333,,,-0.01,0.01006,-0.00254,-0.02351,-0.00327,-0.00482
66,67584,-7.22921,450.0,0.0,0.15,0.681664,-0.002968,0.008172,0.002189,0.377236,0.031913,0.946442,14.261932,4.60463,14.12294,4.480989,4.0,9.778e-05,2,1091,0.17842,0.23312,0.3,1.0,0.92308,,,-0.01,0.00621,-0.00117,-0.02614,-0.00109,0.0
67,68608,22.57599,376.4,0.4,0.17,1.095361,-0.001784,0.339414,0.001932,0.556386,0.020717,0.412753,11.583779,5.221276,13.64358,9.006907,4.0,9.775e-05,5,935,0.19268,0.25511,0.32,0.8,0.89474,,,-0.01,0.01288,0.00091,-0.01783,-6e-05,0.20918
68,69632,57.92658,183.71429,0.85714,0.22,1.105551,-0.000571,0.798448,0.001048,1.429751,0.004499,0.381775,13.586014,6.075445,18.67713,14.131543,4.0,9.771e-05,7,923,0.19628,0.26604,0.32,0.42857,0.64706,,,-0.01,0.01127,2e-05,-0.02226,-0.00868,0.66064
69,70656,21.63314,138.875,0.375,0.25,1.04542,-0.000615,0.472054,0.000313,0.535034,0.000663,0.442645,15.581007,6.835182,16.765364,11.98262,4.0,9.768e-05,8,917,0.22149,0.29235,0.28,0.875,0.9,,,-0.01,0.01208,-0.00024,-0.02232,-0.00985,0.32328
70,71680,32.10724,132.75,0.5,0.27,1.006332,-0.001358,0.23371,0.000466,0.33916,0.000209,0.694994,18.61842,8.815863,20.029264,11.909425,4.0,9.764e-05,4,890,0.23707,0.29787,0.27,0.5,0.66667,,,-0.01,0.01003,-0.00074,-0.02652,-0.00523,0.23482
71,72704,19.7281,291.66667,0.33333,0.27,1.093421,-0.001705,0.134648,0.001516,0.300865,0.009766,0.813328,22.680292,11.094842,23.691223,12.087918,4.0,9.761e-05,3,894,0.24018,0.31022,0.27,0.66667,0.92857,,,-0.01,0.00877,-0.00161,-0.02459,-0.00113,0.10898
72,73728,14.86099,288.66667,0.33333,0.28,1.199618,-0.002361,0.08396,0.000998,0.457879,0.002197,0.881937,27.576122,11.615237,27.935375,12.311507,4.0,9.758e-05,3,904,0.23626,0.30017,0.28,0.33333,0.57143,,,-0.01,0.007,-0.0015,-0.02859,-0.00044,0.10247
73,74752,-12.28076,450.0,0.0,0.28,1.128089,-0.003782,0.024466,0.001501,0.519918,0.011161,0.929191,30.075796,9.13984,30.127115,8.77783,4.0,9.754e-05,1,902,0.23781,0.30725,0.29,0.0,1.0,,,-0.01,0.0064,-0.00156,-0.02807,-0.00048,0.0
74,75776,-9.50801,450.0,0.0,0.28,1.302199,-0.003939,0.025623,0.002023,0.501935,0.015241,0.934683,30.687405,10.40909,30.606312,10.035264,4.0,9.751e-05,2,883,0.25204,0.32205,0.3,1.0,0.84615,,,-0.01,0.00599,-0.00069,-0.02879,8e-05,0.0
