iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
83,84992,21.93974,208.66667,1.0,0.97,1.551212,-0.16751,3.059864,0.000207,1110,-0.01,0.00466,-0.00085,0.00196,0.00209,0.14463
84,86016,21.4534,242.5,1.0,0.97,1.553123,-0.037615,1.734435,0.001463,1100,-0.01,0.00348,-0.00152,0.00233,0.00417,0.04627
85,87040,23.04488,208.71429,1.0,0.97,1.576194,-0.00017,1.799564,0.001448,1099,-0.01,0.00375,-0.00082,0.00249,0.00185,0.17307
86,88064,18.04019,206.5,1.0,0.97,1.526307,-0.000444,3.231721,0.000467,1174,-0.01,0.00506,-0.00095,0.00185,8e-05,0.0852
87,89088,15.30453,220.2,1.0,0.97,1.678548,-0.056538,1.790522,0.002695,1116,-0.01,0.00335,-0.00027,0.00131,-0.00023,0.08815
88,90112,17.93637,207.6,0.8,0.96,1.58564,-0.037514,2.681596,0.000831,1191,-0.01,0.00407,-0.00096,0.00205,-0.00118,0.10216
89,91136,14.39946,295.0,1.0,0.97,1.616207,0.00014,1.774842,0.000723,1300,-0.01,0.0046,-0.00083,0.0023,0.00383,0.05413
90,92160,20.52308,272.25,1.0,0.97,1.663583,-0.073746,3.128098,0.003739,1172,-0.01,0.00408,-0.00096,0.00176,0.0015,0.0881
91,93184,20.27573,263.25,1.0,0.97,1.588946,-0.019191,2.808185,0.00117,1183,-0.01,0.00453,-0.00102,0.00134,0.0008,0.08844
92,94208,19.65287,283.0,1.0,0.97,1.682547,0.008397,1.343373,0.000469,1269,-0.01,0.00606,-0.0014,0.00194,0.00309,0.04475
93,95232,16.47307,279.33333,0.83333,0.96,1.636796,-0.00014,2.090016,0.000519,1230,-0.01,0.0036,-0.00086,0.00128,0.0016,0.11175
94,96256,21.58427,222.0,1.0,0.96,1.710737,-0.000233,1.831225,0.000187,1165,-0.01,0.00496,-0.00161,0.00135,0.0043,0.02325
95,97280,22.85581,253.5,1.0,0.97,1.672764,-0.036929,3.097941,0.002658,1155,-0.01,0.00429,-0.00097,0.00129,0.00171,0.1438
96,98304,14.81256,278.75,0.75,0.96,1.63823,-0.009093,1.486403,0.001144,1247,-0.01,0.00558,-0.00096,0.00083,0.00301,0.06934
97,99328,23.80121,237.8,1.0,0.96,1.590189,-0.000162,2.334434,0.000333,1153,-0.01,0.00486,-0.00064,0.00077,0.00261,0.12369
98,100352,14.68344,231.4,0.8,0.95,1.569018,-0.000318,3.369126,0.00063,1254,-0.01,0.00515,-0.00103,0.001,0.00158,0.08861
