iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
60,61440,-0.96437,268.6,0.0,0.0,1.348021,-0.002901,0.094351,0.004939,2415,0.06573,1.0,0.0,,,-0.01,0.01182,0.00103,-0.00947,0.00061,-0.00072
61,62464,-0.78568,300.0,0.0,0.0,1.408248,-0.005356,0.112782,0.005233,2310,0.05382,0.5,0.0,,,-0.01,0.01415,0.00227,-0.01533,0.00187,0.0
62,63488,-1.80135,300.0,0.0,0.0,1.390644,-0.004848,0.092621,0.005368,2693,0.05769,1.0,0.0,,,-0.01,0.01504,0.00134,-0.00703,0.00082,0.0
63,64512,-1.16797,296.4,0.0,0.0,1.334023,-0.067491,0.111401,0.004337,2378,0.05341,1.0,0.0,,,-0.01,0.0147,0.00284,-0.01629,-0.00193,-0.00072
64,65536,-1.30162,233.6,0.0,0.0,1.354744,-0.026295,0.105891,0.004527,2522,0.05933,1.0,0.0,,,-0.01,0.01405,0.00183,-0.01229,-0.00059,-0.00227
65,66560,-1.83617,300.0,0.0,0.0,1.388275,0.027263,0.106916,0.004358,2499,0.06622,1.0,0.0,,,-0.01,0.01495,0.00209,-0.0151,0.00511,0.0
66,67584,-1.22619,271.66667,0.0,0.0,1.340581,0.019497,0.073516,0.004983,2452,0.05683,1.0,0.0,,,-0.01,0.01317,0.0011,-0.01198,-0.00155,-0.00074
67,68608,-1.68626,247.66667,0.0,0.0,1.214702,-0.050604,0.101837,0.002935,2510,0.05509,1.0,0.0,,,-0.01,0.01204,0.00205,-0.01626,-0.00017,-0.00075
68,69632,-1.83675,279.0,0.0,0.0,1.22352,-0.003581,0.068539,0.003253,2757,0.04782,1.0,0.0,,,-0.01,0.00785,0.00168,-0.01294,-0.00046,-0.00083
69,70656,-2.61946,269.0,0.0,0.0,1.303842,0.0542,0.069627,0.003314,2188,0.05297,1.0,0.0,,,-0.01,0.00902,0.00242,-0.01963,-0.00085,-0.00064
70,71680,-3.16335,253.33333,0.0,0.0,1.307595,-0.066331,0.079013,0.004821,2636,0.06656,1.0,0.0,,,-0.01,0.00916,0.0019,-0.01065,0.0002,-0.00079
71,72704,-2.32828,300.0,0.0,0.0,1.243481,-0.056062,0.067188,0.005282,2334,0.05491,0.8,0.0,,,-0.01,0.00951,0.00218,-0.01375,0.00331,0.0
72,73728,-1.94664,267.25,0.0,0.0,1.268278,-0.05104,0.102653,0.004721,2628,0.05717,1.0,0.0,,,-0.01,0.01213,0.00177,-0.01582,-0.00228,-0.00159
73,74752,-2.69828,230.66667,0.0,0.0,1.302395,0.015865,0.082186,0.004193,2229,0.03724,0.66667,0.0,,,-0.01,0.00934,0.00145,-0.01172,0.00352,-0.00064
74,75776,-2.86059,300.0,0.0,0.0,1.328705,-0.041729,0.08814,0.004388,2426,0.04819,1.0,0.0,,,-0.01,0.01135,0.00193,-0.00895,-0.00058,0.0
75,76800,-1.01165,300.0,0.0,0.0,1.337691,-0.002662,0.068328,0.001887,2360,0.04752,0.83333,0.0,,,-0.01,0.01214,0.00141,-0.01026,0.00111,0.0
76,77824,-1.07022,269.33333,0.0,0.0,1.301685,-0.003119,0.108148,0.003132,2337,0.05377,1.0,0.0,,,-0.01,0.01098,0.00162,-0.01458,0.00021,-0.0007
77,78848,-2.11509,300.0,0.0,0.0,1.305439,-0.003108,0.066623,0.004501,2728,0.04843,1.0,0.0,,,-0.01,0.00975,0.00214,-0.01371,-0.00204,0.0
78,79872,-2.59165,267.0,0.0,0.0,1.192626,-0.002103,0.076813,0.002159,2337,0.05322,0.8,0.0,,,-0.01,0.01038,0.00208,-0.01808,0.00021,-0.0014
79,80896,-1.97704,300.0,0.0,0.0,1.193296,-0.003576,0.077626,0.005538,2816,0.06154,1.0,0.0,,,-0.01,0.00732,0.00154,-0.00958,0.00444,0.0
80,81920,-2.71171,300.0,0.0,0.0,1.15232,-0.00506,0.063712,0.004181,2355,0.04196,1.0,0.0,,,-0.01,0.00913,0.00195,-0.01641,0.00082,0.0
81,82944,-2.64893,270.0,0.0,0.0,1.217916,-0.003495,0.088487,0.004064,2933,0.04892,1.0,0.0,,,-0.01,0.00891,0.00165,-0.00955,-0.00024,-0.00088
82,83968,-1.6443,300.0,0.0,0.0,1.145555,-0.003029,0.074749,0.002993,2860,0.03576,1.0,0.0,,,-0.01,0.00882,0.00182,-0.00699,-0.00179,0.0
