iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
134,137216,32.3913,375.0,1.0,0.88,1.630735,-0.000151,6.208177,0.000819,1024,-0.01,0.0037,0.00134,0.00925,-0.00257,0.0437
135,138240,30.19687,280.0,1.0,0.89,1.636841,0.000134,6.979177,0.002074,1206,-0.01,0.00187,0.00746,0.00985,-0.00271,0.05079
136,139264,12.03034,514.33333,0.33333,0.89,1.618542,-0.026917,6.344483,0.001145,900,-0.01,0.00529,0.00452,0.00924,-0.00206,0.07991
137,140288,nan,nan,0.0,0.89,1.677215,0.000105,3.357356,0.000464,831,-0.01,0.00426,-0.00029,0.00805,-0.01606,0.0
138,141312,-0.41498,480.5,0.5,0.88,1.680747,0.079039,4.112242,0.003301,1079,-0.01,0.0029,0.00109,0.00878,-0.00278,0.01938
139,142336,18.17117,376.75,0.75,0.87,1.682942,-0.006852,8.623666,0.000576,927,-0.01,0.00446,0.0071,0.00996,-0.00763,0.10219
140,143360,42.02657,514.0,1.0,0.87,1.701511,-0.000589,5.543905,0.000456,803,-0.01,0.00517,0.00154,0.00857,0.00013,0.08625
141,144384,37.36109,314.33333,1.0,0.87,1.681348,-0.045639,12.431436,0.001478,855,-0.01,0.00389,0.0016,0.00896,8e-05,0.13031
142,145408,36.61367,325.0,1.0,0.87,1.649978,0.056268,10.14821,0.000666,822,-0.01,0.00557,0.00304,0.00927,-0.01614,0.12318
143,146432,25.05599,314.0,1.0,0.87,1.702269,0.035082,8.39637,0.000743,914,-0.01,0.00577,0.00474,0.00966,-0.00121,0.09566
144,147456,23.84227,335.5,0.75,0.86,1.670138,0.000118,10.736052,0.000624,748,-0.01,0.00573,0.00544,0.01037,0.00033,0.10464
145,148480,37.1575,332.25,0.75,0.87,1.67075,-0.000239,15.83487,0.001472,781,-0.01,0.0065,0.00191,0.00913,0.00069,0.15421
146,149504,39.96499,235.75,1.0,0.87,1.705406,-0.000797,17.033681,0.000269,827,-0.01,0.00746,0.00157,0.00982,-0.01675,0.17781
147,150528,39.27692,204.75,1.0,0.87,1.666524,-0.036332,12.905276,0.000654,830,-0.01,0.00691,0.00113,0.00903,-0.00038,0.17871
148,151552,27.78516,324.75,0.75,0.86,1.699959,0.035084,10.748005,0.000539,826,-0.01,0.00596,0.00085,0.00938,0.00225,0.13709
149,152576,46.62599,197.0,1.0,0.86,1.803361,0.007034,11.561788,0.000927,800,-0.01,0.00767,-0.00123,0.0081,-0.00207,0.20011
150,153600,34.58821,253.14286,0.85714,0.86,1.65833,-0.000202,19.252013,0.000636,810,-0.01,0.00754,-0.0002,0.00851,0.00339,0.26457
151,154624,44.35534,171.0,1.0,0.87,1.641173,9e-06,17.178617,0.000305,763,-0.01,0.00751,0.00184,0.0082,0.00145,0.23142
152,155648,44.16485,193.5,1.0,0.88,1.635774,-0.000521,13.742188,0.000202,852,-0.01,0.00683,0.00022,0.00844,-0.00288,0.20006
153,156672,30.43641,198.2,1.0,0.88,1.614069,-0.000449,12.952673,0.000108,882,-0.01,0.00719,0.00245,0.00811,-0.00121,0.18264
154,157696,48.74605,164.0,1.0,0.89,1.608968,-4.4e-05,13.599705,0.000502,837,-0.01,0.00612,0.00172,0.00792,0.00249,0.16437
155,158720,38.81091,263.2,0.8,0.89,1.602597,-0.014141,15.071609,0.000386,817,-0.01,0.0061,0.00321,0.01003,0.00323,0.21357
156,159744,40.95219,185.0,1.0,0.89,1.581464,-7.4e-05,9.139058,0.000541,849,-0.01,0.00565,0.00152,0.00873,0.00143,0.14045
157,160768,35.36474,304.5,0.66667,0.87,1.634099,6.7e-05,13.339773,0.000712,793,-0.01,0.00869,0.00303,0.00942,0.00143,0.22215
158,161792,41.9143,203.33333,1.0,0.87,1.618499,-0.000293,20.836931,0.000424,811,-0.01,0.00703,0.00096,0.00936,-0.00114,0.27489
