iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,grad_norm,clipfrac,explained_variance,value_mean,value_std,return_mean,return_std,epochs_used,lr,n_episodes,sps,tx_per_agent_step,messages_per_agent_step,timeout_rate_rolling,root_report_close_rolling,root_report_close_n,human_death_rate,false_complete_rate,cover_under_threat,objective_dist_under_threat,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
1958,2004992,76.15585,110.77778,1.0,0.99,1.036202,-0.001833,0.005733,0.001757,0.314394,0.008362,0.778441,67.390633,2.75687,67.582695,3.301605,4.0,0.00012823,9,1366,0.33423,0.34382,0.0,1.0,100,0.11111,0.0,1.0,2.02879,-0.01,0.04249,-0.003,0.00192,0.01708,0.6267
1959,2006016,73.49133,123.2,1.0,0.99,0.979538,-0.001333,0.00611,0.001527,0.294057,0.006531,0.860045,66.964546,3.84213,66.530457,4.174034,4.0,0.00012814,5,1382,0.28636,0.29265,0.0,1.0,100,0.2,0.0,1.0,2.05764,-0.01,0.03351,-0.00245,0.00238,0.01203,0.34538
1960,2007040,75.99521,140.22222,1.0,0.99,1.011777,-0.002894,0.008678,0.001931,0.316553,0.017334,0.738735,66.078949,3.322201,66.375114,3.622904,4.0,0.00012806,9,1387,0.27818,0.28973,0.0,1.0,100,0.0,0.0,1.0,2.00464,-0.01,0.03663,-0.00285,0.00053,0.01486,0.63893
1961,2008064,76.02367,114.71429,1.0,0.99,0.99542,-0.002322,0.003909,0.002934,0.369394,0.02887,0.893695,67.69532,3.213618,67.666504,3.853191,4.0,0.00012797,7,1359,0.26918,0.2758,0.0,1.0,100,0.0,0.0,1.0,2.03213,-0.01,0.03788,-0.00276,0.00205,0.01623,0.48508
1962,2009088,74.8825,134.44444,1.0,0.99,1.018244,-0.002289,0.007285,0.002843,0.336848,0.018372,0.71791,67.680771,3.114803,67.577225,3.291881,4.0,0.00012788,9,1373,0.27413,0.28414,0.0,1.0,100,0.11111,0.0,1.0,2.01104,-0.01,0.03219,-0.00261,0.00185,0.01476,0.61548
1963,2010112,72.86203,148.2,1.0,0.99,0.961168,-0.000919,0.009556,0.001189,0.314056,0.006775,0.457214,67.651962,2.615408,67.063271,2.666364,4.0,0.00012779,5,1398,0.25129,0.25716,0.0,1.0,100,0.2,0.0,1.0,2.00728,-0.01,0.03739,-0.00249,0.00237,0.01165,0.33161
1964,2011136,75.69163,164.125,1.0,0.99,0.975248,-0.001337,0.006133,0.002009,0.347747,0.016907,0.792107,65.872475,2.816383,65.985718,3.414869,4.0,0.0001277,8,1357,0.25049,0.25903,0.0,1.0,100,0.0,0.0,1.0,2.05509,-0.01,0.03573,-0.00198,0.00178,0.00962,0.54574
1965,2012160,68.69803,110.0,0.9,0.98,0.91604,-0.001512,0.099359,0.000923,0.371567,0.0047,0.304924,67.169365,3.091118,66.277946,8.093879,4.0,0.00012762,10,1364,0.22159,0.23315,0.0,1.0,100,0.2,0.0,1.0,2.01961,-0.01,0.04237,-0.0007,0.00165,0.02145,0.62479
1966,2013184,77.37478,107.63636,1.0,0.99,0.960834,-0.001707,0.010941,0.002105,0.346327,0.021729,0.63446,66.356476,2.722913,67.197128,3.240278,4.0,0.00012753,11,1353,0.22876,0.2417,0.0,1.0,100,0.0,0.0,1.0,2.02955,-0.01,0.04096,-0.00108,0.00178,0.01934,0.77062
1967,2014208,65.93744,111.57143,0.85714,0.98,0.961932,-0.002185,0.106013,0.002343,0.513817,0.01532,0.445391,67.387589,4.711342,65.783485,8.875231,4.0,0.00012744,7,1379,0.27375,0.28382,0.0,1.0,100,0.14286,0.0,1.0,2.01495,-0.01,0.03531,-0.00224,0.0016,0.01314,0.41987
1968,2015232,75.75484,145.25,1.0,0.98,1.008015,-0.001348,0.013013,0.002758,0.324518,0.02948,0.522052,65.749382,3.081638,66.244934,3.156797,4.0,0.00012735,8,1381,0.302,0.31104,0.0,0.99,100,0.0,0.0,1.0,2.00584,-0.01,0.04216,-0.0028,0.00186,0.01067,0.55073
1969,2016256,76.88741,95.22222,1.0,0.98,0.9408,-0.001504,0.018512,0.004229,0.265647,0.05304,0.21365,65.898956,3.614859,66.258881,3.516181,4.0,0.00012727,9,1370,0.26981,0.28009,0.0,0.99,100,0.11111,0.0,1.0,2.0509,-0.01,0.03971,-0.00147,0.00094,0.02177,0.62818
1970,2017280,74.04349,112.375,1.0,0.98,0.910273,-0.003029,0.012181,0.003189,0.277422,0.035156,0.694285,65.249802,4.00273,64.860764,4.264139,4.0,0.00012718,8,1382,0.23086,0.24509,0.0,0.99,100,0.375,0.0,1.0,1.98956,-0.01,0.03434,-0.00185,0.00079,0.01509,0.54003
1971,2018304,75.3033,134.2,1.0,0.98,0.988533,-0.001495,0.010529,0.002088,0.424592,0.022949,0.331659,66.403915,2.642001,67.086105,2.50396,4.0,0.00012709,10,1373,0.28927,0.29954,0.0,0.99,100,0.1,0.0,1.0,2.01882,-0.01,0.04149,-0.00191,0.00193,0.01595,0.68529
1972,2019328,77.24024,107.4,1.0,0.98,0.994632,-0.003487,0.004537,0.003774,0.385085,0.051147,0.739738,67.446533,2.00343,68.111572,2.591474,4.0,0.000127,10,1369,0.31567,0.32715,0.0,0.99,100,0.0,0.0,1.0,2.01712,-0.01,0.04543,-0.00248,0.00064,0.01929,0.70068
1973,2020352,75.8776,97.55556,1.0,0.98,0.967454,-0.003275,0.007351,0.003977,0.362159,0.050842,0.621904,67.909309,2.783422,68.110275,2.810223,4.0,0.00012691,9,1373,0.2881,0.29865,0.0,0.99,100,0.22222,0.0,1.0,2.01993,-0.01,0.04452,-0.001,0.00038,0.02147,0.62218
